Date,PM2.5_mean,PM2.5_max,PM2.5_min
2023-07-28,2.7478571428571428,3.26,2.2
2023-07-29,5.706666666666667,7.41,2.86
2023-07-30,4.399583333333333,6.79,3.2
2023-07-31,3.7220833333333334,5.79,2.19
2023-08-01,6.185454545454546,7.44,4.41
2023-08-02,4.29375,10.9,1.53
2023-08-03,3.9929166666666664,6.9,1.94
2023-08-04,5.12,6.82,3.77
2023-08-05,5.4775,9.33,3.39
2023-08-06,4.39375,5.25,3.68
2023-08-07,4.40125,5.96,3.65
2023-08-08,3.689166666666667,6.48,2.17
2023-08-09,6.521666666666667,7.38,2.77
2023-08-10,4.586250000000001,6.73,2.89
2023-08-11,5.3625,6.62,2.98
2023-08-12,6.740416666666667,10.41,5.24
2023-08-13,5.3220833333333335,7.96,3.08
2023-08-14,4.160416666666666,4.96,3.72
2023-08-15,6.743333333333333,7.88,3.85
2023-08-16,3.26,7.45,0.81
2023-08-17,6.363333333333333,9.33,5.08
2023-08-18,12.659166666666666,19.33,3.29
2023-08-19,4.068333333333333,19.94,2.17
2023-08-20,5.78,7.54,2.42
2023-08-21,4.49,6.0,3.43
2023-08-22,4.789583333333334,7.25,3.76
2023-08-23,6.391249999999999,8.74,4.46
2023-08-24,8.725416666666666,12.21,7.34
2023-08-25,6.18625,7.97,5.09
2023-08-26,5.8183333333333325,10.54,3.86
2023-08-27,3.8670833333333334,5.02,2.69
2023-08-28,4.715833333333333,6.1,3.51
2023-08-29,3.2679166666666664,5.54,1.34
2023-08-30,3.848333333333333,5.16,2.78
2023-08-31,6.322083333333333,8.16,4.37
2023-09-01,4.770833333333333,7.61,2.93
2023-09-02,9.339166666666666,12.67,6.44
2023-09-03,11.23375,13.91,8.03
2023-09-04,13.561666666666667,23.83,5.91
2023-09-05,14.4775,19.42,9.45
2023-09-06,19.511666666666667,35.41,13.68
2023-09-07,26.153333333333332,36.56,16.12
2023-09-08,16.90125,32.18,12.39
2023-09-09,17.769583333333333,21.64,15.05
2023-09-10,25.373333333333335,48.8,9.6
