Date,PM2.5_mean,PM2.5_max,PM2.5_min
2024-05-18,12.905000000000001,16.14,8.66
2024-05-19,13.242916666666666,17.07,8.23
2024-05-20,12.194166666666668,16.29,8.74
2024-05-21,10.269166666666667,13.68,6.51
2024-05-22,10.106666666666667,15.11,5.17
2024-05-23,5.4775,10.35,3.78
2024-05-24,6.5075,12.35,3.87
2024-05-25,8.31875,15.07,6.26
2024-05-26,4.961666666666667,7.37,3.95
2024-05-27,3.81125,5.78,2.68
2024-05-28,5.294583333333333,10.1,1.43
2024-05-29,3.98625,6.35,2.1
2024-05-30,3.3095833333333338,4.61,2.3
2024-05-31,5.827916666666667,10.14,3.26
2024-06-01,7.109583333333333,14.3,4.22
2024-06-02,9.6575,13.58,5.13
2024-06-03,5.520833333333333,11.01,3.47
2024-06-04,5.623333333333334,8.06,2.6
2024-06-05,8.209999999999999,10.67,4.57
2024-06-06,9.964166666666666,13.93,6.73
2024-06-07,7.51125,9.78,5.67
2024-06-08,3.952083333333333,6.42,2.55
2024-06-09,4.9870833333333335,6.17,4.16
2024-06-10,4.29,9.07,1.68
2024-06-11,4.461666666666667,8.97,2.93
2024-06-12,6.631666666666667,9.37,5.16
2024-06-13,6.024583333333333,8.3,4.32
2024-06-14,2.3754166666666667,4.4,0.84
2024-06-15,4.703333333333333,10.48,2.63
2024-06-16,5.879583333333334,9.81,3.59
2024-06-17,3.8366666666666664,5.35,2.61
2024-06-18,6.177916666666667,8.27,4.65
2024-06-19,5.32875,8.99,3.88
2024-06-20,5.559583333333333,10.19,4.44
2024-06-21,7.475416666666667,12.07,5.17
2024-06-22,3.970833333333333,7.1,2.37
2024-06-23,4.372083333333333,6.94,3.27
2024-06-24,5.7316666666666665,7.18,4.6
2024-06-25,8.4125,10.67,6.02
2024-06-26,13.02375,18.42,9.47
2024-06-27,9.001666666666667,15.44,4.05
2024-06-28,5.6187499999999995,10.05,3.54
2024-06-29,6.337083333333333,7.24,5.33
2024-06-30,5.0616666666666665,7.89,3.55
2024-07-01,4.775416666666667,6.75,3.1
2024-07-02,6.47,10.72,3.7
2024-07-03,5.6066666666666665,9.6,4.45
2024-07-04,4.2250000000000005,5.88,3.72
2024-07-05,3.700416666666667,6.64,1.62
2024-07-06,2.6504166666666666,7.5,1.44
2024-07-07,4.086250000000001,6.14,2.1
2024-07-08,3.7929166666666667,5.94,3.05
2024-07-09,5.347916666666666,11.39,2.49
2024-07-10,2.3220833333333335,3.91,1.77
2024-07-11,3.6783333333333332,4.66,2.66
2024-07-12,5.260833333333333,6.75,3.96
2024-07-13,5.640833333333333,18.66,4.02
2024-07-14,5.12625,7.11,3.87
2024-07-15,6.71375,11.08,5.15
2024-07-16,4.532916666666667,7.49,2.64
2024-07-17,6.462083333333333,9.21,4.68
2024-07-18,7.685833333333334,12.28,4.79
2024-07-19,10.22125,21.0,6.09
2024-07-20,6.28375,13.44,2.71
2024-07-21,2.7579166666666666,4.93,1.99
2024-07-22,4.380833333333333,6.65,2.21
2024-07-23,5.066666666666666,11.78,3.35
2024-07-24,6.685,11.92,3.59
