Date,NO2_mean,NO2_max,NO2_min
2024-05-18,11.68,14.86,8.33
2024-05-19,8.367916666666668,16.3,4.82
2024-05-20,18.830000000000002,38.12,12.69
2024-05-21,19.454583333333336,45.83,5.24
2024-05-22,18.9475,29.27,10.18
2024-05-23,9.02125,16.7,4.94
2024-05-24,26.25916666666667,44.35,15.61
2024-05-25,14.996666666666668,44.5,4.7
2024-05-26,6.120416666666667,12.85,2.52
2024-05-27,5.774583333333333,10.03,3.33
2024-05-28,14.545833333333334,19.55,7.13
2024-05-29,4.9675,9.19,1.78
2024-05-30,24.200833333333332,33.33,8.8
2024-05-31,8.17625,16.27,3.87
2024-06-01,9.325833333333334,12.69,6.25
2024-06-02,19.694583333333334,57.49,3.92
2024-06-03,24.925416666666667,47.53,12.19
2024-06-04,15.92375,41.33,6.05
2024-06-05,12.083333333333334,25.64,6.0
2024-06-06,14.03375,19.62,8.66
2024-06-07,9.379166666666666,16.74,3.38
2024-06-08,12.246666666666668,17.46,7.69
2024-06-09,9.302083333333334,25.91,0.0
2024-06-10,11.8275,38.67,4.06
2024-06-11,19.817916666666665,39.63,8.57
2024-06-12,39.61875,61.85,23.32
2024-06-13,13.845833333333333,50.76,5.09
2024-06-14,8.744166666666667,11.22,3.77
2024-06-15,11.717916666666667,18.38,7.67
2024-06-16,9.229166666666666,14.25,4.83
2024-06-17,14.375416666666666,22.25,5.81
2024-06-18,16.810416666666665,30.03,7.25
2024-06-19,8.279166666666667,18.48,4.81
2024-06-20,29.370833333333334,44.92,14.66
2024-06-21,15.69625,45.79,6.94
2024-06-22,8.06375,17.62,4.32
2024-06-23,10.344583333333334,17.5,6.88
2024-06-24,32.555416666666666,53.47,11.67
2024-06-25,31.015416666666667,55.18,16.91
2024-06-26,26.9825,42.8,12.07
2024-06-27,12.694166666666666,29.59,6.73
2024-06-28,7.139583333333333,20.06,3.18
2024-06-29,16.229166666666668,23.42,9.62
2024-06-30,13.063749999999999,23.55,5.59
2024-07-01,8.694583333333332,13.38,6.54
2024-07-02,23.091250000000002,44.42,8.8
2024-07-03,20.330000000000002,37.62,8.48
2024-07-04,6.894166666666667,16.38,5.13
2024-07-05,10.098333333333334,16.29,3.05
2024-07-06,11.182916666666666,18.23,5.83
2024-07-07,12.515833333333333,18.85,7.45
2024-07-08,16.391666666666666,23.99,9.76
2024-07-09,21.416666666666668,30.72,12.93
2024-07-10,8.262916666666667,14.61,5.22
2024-07-11,18.487916666666667,32.48,8.56
2024-07-12,7.87375,22.37,2.86
2024-07-13,22.424166666666665,37.04,7.01
2024-07-14,20.122916666666665,38.01,7.89
2024-07-15,29.709999999999997,43.73,9.88
2024-07-16,14.339166666666666,25.52,5.0
2024-07-17,27.32875,44.42,9.42
2024-07-18,27.88875,42.97,9.25
2024-07-19,32.32208333333333,67.96,8.96
2024-07-20,11.209583333333335,32.64,6.63
2024-07-21,8.700833333333334,12.67,4.64
2024-07-22,8.00625,11.91,5.94
2024-07-23,16.059583333333332,31.04,6.03
2024-07-24,21.993750000000002,37.08,6.99
